"Featured Products","Featured Products"
"Add to Wishlist","Add to Wishlist"
"Add to Compare","Add to Compare"
"Add to Cart","Add to Cart"
"Manage Featured Products","Manage Featured Products"
"Configuration","Configuration"
"Featured Products Config","Featured Products Config"
"Please select product(s).","'Please select product(s)."
"Total of %d product(s) have been set as featured.","Total of %d product(s) have been set as featured."
"Total of %d record(s) have been unset as featured.","Total of %d record(s) have been unset as featured."
"Homepage","Homepage"
"Enable","Enable"
"Block Title","Block Title"
"Products per Block","Products per Block"
"Category page","Category page"
"Sidebar","Sidebar"